hora,dia_semana,es_fin_semana,es_hora_pico,zona_origen,zona_destino,num_estaciones,num_transbordos,duracion_min,ocupacion_tren,clima
19,5,1,0,3,0,7,1,13.7,47.2,2
13,5,1,0,2,4,14,1,27.4,27.5,0
18,4,0,1,1,0,8,0,8.9,90.5,0
11,3,0,0,4,4,1,0,5,65.5,1
7,1,0,1,2,1,7,0,13.0,83.5,0
14,6,1,0,2,3,13,1,26.2,70.4,1
12,6,1,0,1,2,6,0,14.3,33.5,2
18,3,0,1,1,3,5,1,11.7,92.2,1
10,3,0,0,4,1,9,0,18.7,39.0,0
13,5,1,0,1,4,11,0,16.6,30.5,0
15,0,0,0,0,4,13,0,14.5,31.4,0
9,3,0,1,0,1,6,0,10.1,72.2,1
17,0,0,1,0,1,8,0,9.7,73.7,1
19,6,1,0,1,3,5,1,12.5,46.0,0
12,1,0,0,4,4,1,0,5,19.9,0
10,2,0,0,2,1,11,0,20.4,60.5,2
10,5,1,0,1,0,7,0,3,59.2,0
16,5,1,0,3,1,11,1,9.6,46.9,0
7,4,0,1,0,1,7,0,6.8,46.5,0
8,1,0,1,1,2,10,0,19.3,84.7,0
9,0,0,0,0,4,14,0,19.4,67.0,0
17,4,0,1,1,3,2,1,10.2,77.9,1
8,2,0,1,2,1,7,0,11.4,59.4,0
8,2,0,1,1,3,6,1,8.3,85.0,0
19,5,1,0,3,0,10,1,19.5,57.1,2
8,1,0,1,1,0,2,0,5,70.9,0
18,1,0,1,2,1,5,0,14.9,96.2,1
7,2,0,1,1,2,8,0,14.2,89.4,1
12,5,1,0,2,3,10,1,19.6,41.1,1
10,6,1,0,0,3,7,1,18.1,37.5,0
15,6,1,0,3,2,9,1,18.4,68.5,2
9,6,1,0,1,3,4,1,13.6,35.0,0
14,0,0,0,4,1,8,0,20.1,36.1,0
15,5,1,0,4,2,17,1,31.7,35.8,0
8,0,0,1,1,0,2,0,8.2,84.9,1
17,2,0,1,0,1,5,0,5,78.8,1
7,1,0,1,3,1,4,0,6.5,44.7,0
10,3,0,0,4,0,12,0,19.1,54.3,2
18,0,0,1,3,1,6,1,15.0,68.6,0
18,5,1,0,3,2,8,1,18.8,50.3,0
16,6,1,0,1,3,1,1,11.7,35.9,0
8,2,0,1,1,2,8,0,14.7,70.8,1
8,0,0,1,1,3,4,1,10.7,82.3,1
6,0,0,0,0,1,7,0,3,90,0
10,5,1,0,4,4,1,0,5,35.3,2
17,1,0,1,2,1,9,0,11.6,78.7,0
14,6,1,0,0,1,7,0,9.2,65.9,2
8,0,0,1,1,3,8,1,8.7,61.8,0
10,6,1,0,4,3,11,1,24.6,34.8,0
7,3,0,1,1,0,5,0,10.7,78.9,1
18,4,0,1,3,1,2,1,10.3,83.5,1
14,5,1,0,1,3,5,1,15.1,66.6,0
9,2,0,1,0,1,5,0,5,80.3,0
7,1,0,1,0,1,7,0,9.5,56.5,0
18,1,0,1,3,1,5,1,8.4,96.4,1
18,4,0,1,2,1,5,0,14.4,80.7,0
7,4,0,1,0,1,6,0,8.1,82.3,1
10,3,0,0,1,4,8,0,15.2,21.5,0
17,6,1,0,0,2,7,0,8.7,42.3,0
17,3,0,1,0,1,4,0,5,84.1,0
7,0,0,1,2,1,5,0,22.5,81.7,1
8,2,0,1,0,1,8,0,9.0,67.3,0
11,1,0,0,4,4,1,0,5,25.6,1
16,3,0,0,0,4,10,0,15.1,12.6,0
8,1,0,1,3,1,4,0,7.1,65.7,0
8,2,0,1,0,1,7,0,6.8,83.1,1
7,0,0,1,0,1,4,0,8.2,93.9,1
11,0,0,0,0,1,6,0,7.0,65.6,0
6,2,0,0,3,1,5,0,9.1,60.4,0
9,6,1,0,2,0,13,0,16.6,31.0,0
16,3,0,0,0,4,12,0,23.1,16.0,0
7,0,0,1,2,1,8,0,16.0,60.5,0
6,0,0,0,2,1,8,0,10.5,62.2,0
18,2,0,1,3,1,4,1,8.6,88.8,1
10,5,1,0,3,4,9,1,26.6,35.6,0
9,3,0,0,4,4,1,0,5,44.0,2
15,5,1,0,3,1,4,1,3,45.4,0
8,3,0,1,3,1,4,1,5.2,92.0,1
8,1,0,1,2,1,7,0,16.2,85.0,1
7,1,0,1,0,1,5,0,10.4,43.9,0
8,2,0,1,3,1,7,1,14.0,83.9,0
8,3,0,1,1,2,7,0,16.2,78.4,0
9,5,1,0,3,1,4,1,3.9,36.9,1
12,6,1,0,4,3,16,1,25.6,26.7,1
7,1,0,1,0,1,6,0,5.5,56.2,0
7,2,0,1,3,1,4,0,7.0,60.3,2
19,5,1,0,2,0,16,0,15.6,49.1,0
8,4,0,1,1,2,5,0,13.8,76.4,1
19,6,1,0,4,2,20,1,20.7,50.7,0
6,4,0,0,2,1,7,0,18.4,53.0,0
7,3,0,1,2,1,5,0,11.6,88.6,0
11,6,1,0,4,0,14,0,20.7,58.7,0
7,3,0,1,0,1,4,0,8.7,48.6,1
13,5,1,0,3,2,12,1,12.9,34.4,1
11,1,0,0,3,1,5,0,12.8,58.2,0
15,5,1,0,2,1,13,0,17.7,32.2,0
10,1,0,0,2,1,7,0,13.7,89.5,1
7,4,0,1,0,1,6,0,8.7,92.1,1
17,4,0,1,0,1,2,0,5,100,0
13,5,1,0,3,1,1,1,16.8,40.3,0
16,0,0,0,4,0,9,0,20.6,22.1,2
7,3,0,1,0,1,2,0,6.8,54.1,0
12,4,0,0,3,1,1,0,5.1,51.2,2
18,2,0,1,3,1,5,1,13.9,82.4,1
9,4,0,0,4,0,11,0,19.1,31.7,0
10,2,0,0,3,1,5,0,3.9,45.0,2
9,3,0,1,2,1,6,0,15.5,86.8,0
18,2,0,1,0,1,6,0,5,73.3,0
18,0,0,1,1,0,5,0,5,73.0,0
17,4,0,1,1,3,2,1,9.2,81.9,0
18,4,0,1,1,3,5,1,16.5,77.6,1
11,0,0,0,0,1,3,0,6.7,76.4,1
13,6,1,0,1,3,5,1,12.0,27.0,2
17,5,1,0,0,3,2,1,12.3,29.7,0
17,4,0,1,3,1,4,1,9.7,83.6,0
11,5,1,0,3,0,12,1,8.7,46.3,2
7,0,0,1,0,1,6,0,5.6,48.1,1
13,6,1,0,4,4,1,0,5,19.7,0
16,6,1,0,2,0,13,0,19.8,66.7,1
8,2,0,1,3,1,8,1,11.5,77.0,1
18,3,0,1,2,1,10,0,18.4,72.6,1
15,6,1,0,2,4,16,1,36.4,55.5,1
18,6,1,0,4,0,8,1,24.3,39.3,2
18,3,0,1,3,1,5,1,14.9,92.9,1
8,3,0,1,0,1,2,0,11.4,100,1
7,2,0,1,3,1,4,0,9.5,64.2,1
7,1,0,1,2,1,6,0,10.5,52.0,0
11,3,0,0,0,1,4,0,8.4,57.5,0
17,6,1,0,4,2,18,1,24.4,48.7,0
10,4,0,0,2,1,6,0,15.8,68.3,0
17,2,0,1,1,0,6,0,6.4,81.0,0
10,5,1,0,1,4,6,1,20.1,46.7,0
11,0,0,0,3,1,1,0,8.6,68.9,0
8,3,0,1,1,0,7,0,7.3,84.1,1
10,6,1,0,0,2,15,0,18.5,73.6,0
8,2,0,1,0,1,6,0,12.8,84.8,0
18,0,0,1,1,0,5,0,5,82.8,0
7,1,0,1,3,1,3,1,6.4,76.2,1
14,6,1,0,3,0,10,1,11.5,19.6,2
15,5,1,0,1,4,12,0,19.3,53.9,0
14,5,1,0,3,0,6,1,19.4,50.9,2
8,3,0,1,0,1,6,0,8.2,87.5,0
7,3,0,1,0,1,8,0,7.7,65.3,1
8,2,0,1,1,2,5,0,16.6,85.1,0
19,5,1,0,4,3,12,1,26.3,46.2,0
8,1,0,1,1,0,4,0,5,85.0,1
10,5,1,0,4,1,9,0,10.0,15.2,2
9,3,0,1,0,1,6,0,10.5,94.8,0
8,1,0,1,0,1,2,0,12.0,80.0,0
18,1,0,1,1,3,8,1,5,83.0,0
6,4,0,0,2,1,11,0,11.1,69.2,0
15,1,0,0,4,4,1,0,5,55.8,0
9,4,0,1,3,1,8,1,5.3,85.8,0
9,3,0,1,3,1,8,1,10.7,89.6,2
17,5,1,0,4,1,11,1,32.0,46.6,0
7,0,0,1,0,1,5,0,10.5,74.2,1
16,5,1,0,3,0,9,1,13.7,50.2,0
13,5,1,0,0,3,10,1,18.6,32.6,0
18,4,0,1,2,1,11,0,17.8,91.2,0
6,3,0,0,0,1,6,0,6.9,49.2,0
17,4,0,1,2,1,7,0,14.8,57.0,2
17,0,0,1,1,2,8,0,12.9,90.2,0
7,1,0,1,3,1,4,0,13.1,75.7,1
8,0,0,0,4,4,2,0,5,26.7,1
6,4,0,0,0,1,8,0,8.0,33.1,0
18,1,0,1,1,0,10,0,12.0,76.3,2
18,4,0,1,0,1,5,0,5,93.3,0
8,3,0,1,0,1,5,0,6.0,53.5,1
17,6,1,0,4,3,14,1,20.8,45.5,0
18,6,1,0,0,2,17,0,23.5,76.5,0
8,2,0,1,1,0,4,0,8.3,100,0
17,3,0,1,2,1,9,0,17.3,86.5,2
7,3,0,1,2,1,7,0,13.2,64.8,0
6,3,0,0,2,1,8,0,17.9,41.6,2
7,0,0,1,2,1,6,0,10.0,94.7,0
6,3,0,0,3,1,4,0,7.1,50.7,0
18,4,0,1,1,3,8,1,7.9,88.9,0
8,1,0,1,2,1,7,0,10.2,79.9,2
18,1,0,1,1,2,9,0,6.1,85.1,1
17,6,1,0,4,3,10,1,25.1,43.0,1
14,5,1,0,4,2,18,1,30.3,54.8,0
19,5,1,0,1,3,1,1,12.5,46.3,1
13,5,1,0,4,4,1,0,5,31.8,0
18,2,0,1,1,3,7,1,12.2,77.3,2
17,6,1,0,4,1,9,1,15.8,53.7,1
18,0,0,1,3,1,5,1,16.1,73.7,1
8,3,0,1,0,1,4,0,6.7,69.3,0
17,5,1,0,4,1,8,1,19.1,49.0,0
6,0,0,0,0,1,8,0,14.5,46.6,0
6,4,0,0,2,1,8,0,14.2,67.0,0
18,0,0,1,1,3,7,1,13.0,89.0,0
6,3,0,0,0,1,4,0,8.3,53.8,0
10,2,0,0,1,4,8,0,17.7,10.7,0
11,5,1,0,0,4,10,0,10.4,28.7,0
6,1,0,0,0,1,7,0,9.3,72.4,0
10,6,1,0,4,3,11,1,37.3,63.7,2
14,5,1,0,3,1,5,1,6.5,33.8,0
7,1,0,1,0,1,6,0,9.0,74.2,1
16,5,1,0,1,2,11,0,9.2,17.9,0
16,1,0,0,1,4,7,0,24.8,9.5,2
16,6,1,0,4,1,12,1,14.1,62.6,1
8,3,0,1,0,1,4,0,12.7,78.4,0
8,1,0,1,1,2,7,0,15.2,97.5,1
19,2,0,1,1,0,8,0,5,93.3,0
16,5,1,0,2,1,8,0,21.4,37.8,0
16,5,1,0,3,2,13,1,17.0,41.2,0
18,1,0,1,3,1,6,1,6.5,66.7,0
8,1,0,1,0,1,3,0,10.1,51.9,0
19,6,1,0,0,2,10,0,28.3,25.1,2
6,2,0,0,0,1,6,0,5.6,49.1,2
15,5,1,0,2,4,20,1,41.2,14.3,1
12,4,0,0,0,1,5,0,11.2,52.7,1
7,3,0,1,0,1,6,0,12.5,63.2,0
11,4,0,0,4,0,13,0,14.3,39.1,0
8,1,0,1,0,1,6,0,5,81.7,1
18,2,0,1,1,3,5,1,10.6,78.3,1
7,4,0,1,2,1,10,0,16.9,72.9,1
6,2,0,0,0,1,5,0,6.1,66.3,0
8,0,0,1,1,3,4,1,13.3,69.8,0
9,5,1,0,3,0,7,1,17.2,31.5,1
18,3,0,1,2,1,6,0,14.7,79.2,0
19,6,1,0,1,0,6,0,9.7,47.7,1
8,2,0,1,0,1,5,0,11.6,74.4,0
8,4,0,1,2,1,5,0,11.2,71.9,0
8,4,0,1,2,1,8,0,14.0,96.1,2
14,0,0,0,4,1,8,0,21.6,35.0,0
10,5,1,0,1,3,2,1,7.7,74.0,0
9,0,0,1,0,1,8,0,7.0,68.1,0
18,0,0,1,3,1,4,1,12.1,100,0
11,2,0,0,0,1,3,0,8.4,65.4,0
7,4,0,1,2,1,9,0,9.5,77.9,0
10,5,1,0,2,4,15,1,28.9,28.8,0
18,1,0,1,2,1,7,0,8.4,86.1,1
7,4,0,1,2,1,3,0,12.3,50.3,0
17,3,0,1,1,2,11,0,17.6,77.3,2
7,1,0,1,3,1,4,1,10.4,75.1,0
10,5,1,0,3,0,6,1,15.8,27.2,1
16,0,0,0,0,4,11,0,17.9,39.6,2
10,5,1,0,2,4,18,1,34.4,43.2,1
8,0,0,1,1,3,5,1,11.5,79.7,2
7,2,0,1,1,0,2,0,11.9,81.9,0
18,4,0,1,2,1,10,0,13.4,85.7,0
18,5,1,0,0,1,7,0,7.9,18.0,1
7,3,0,1,1,0,5,0,10.5,87.7,2
11,1,0,0,2,1,7,0,9.5,70.5,0
8,3,0,1,3,1,8,1,5,85.8,0
19,6,1,0,3,1,1,1,9.1,49.9,0
18,1,0,1,2,1,7,0,24.0,80.4,0
17,2,0,1,3,1,4,1,14.2,76.1,0
18,0,0,1,1,3,4,1,14.9,75.0,0
13,6,1,0,4,1,9,1,20.3,21.1,2
6,2,0,0,2,1,8,0,12.1,51.5,1
7,2,0,1,2,1,7,0,8.3,74.5,0
9,2,0,1,2,1,10,0,18.1,70.8,2
8,0,0,1,3,1,5,1,6.1,80.0,0
8,2,0,1,3,1,2,1,13.3,60.2,0
7,4,0,1,1,0,7,0,5.3,97.0,1
15,2,0,0,4,1,9,0,14.6,37.6,0
19,0,0,1,1,0,7,0,5,79.6,0
7,1,0,1,1,3,8,1,15.6,90.2,1
6,1,0,0,2,1,7,0,8.0,42.7,0
19,0,0,1,3,1,2,1,5,70.6,0
6,0,0,0,2,1,2,0,15.4,37.0,2
9,4,0,1,3,1,7,1,16.6,86.8,1
7,0,0,1,1,0,5,0,5,76.1,0
7,4,0,1,2,1,8,0,16.2,76.5,1
9,6,1,0,4,3,12,1,20.6,33.2,0
10,6,1,0,1,3,5,1,10.3,38.5,0
7,4,0,1,1,3,3,1,11.5,69.1,2
7,4,0,1,0,1,4,0,5.0,75.2,0
7,2,0,1,3,1,5,0,5.4,64.7,1
18,3,0,1,3,1,7,1,9.9,86.7,0
11,0,0,0,4,0,10,0,17.1,28.5,0
17,1,0,1,3,1,2,1,13.8,85.3,1
10,6,1,0,4,0,14,0,15.2,40.5,1
16,5,1,0,4,0,13,1,19.1,38.1,2
17,1,0,1,2,1,7,0,17.4,86.8,2
8,1,0,1,3,1,5,1,11.3,85.5,1
9,3,0,1,2,1,8,0,16.9,86.0,0
12,6,1,0,0,2,15,0,12.6,47.9,2
16,3,0,0,4,1,8,0,14.9,34.0,0
17,0,0,1,2,1,11,0,9.3,60.7,0
19,1,0,1,1,0,6,0,9.1,71.8,1
7,2,0,1,1,3,3,1,10.8,84.3,0
13,6,1,0,3,2,11,1,16.2,59.8,2
6,1,0,0,2,1,6,0,18.1,41.8,2
6,0,0,0,0,1,5,0,8.8,56.3,1
14,6,1,0,4,0,7,1,16.8,48.6,0
18,3,0,1,0,1,2,0,10.1,79.8,2
18,2,0,1,0,1,4,0,9.1,80.1,1
17,2,0,1,3,1,2,1,5,97.4,0
8,2,0,1,0,1,7,0,10.7,94.0,0
8,2,0,0,4,0,10,0,21.5,19.2,0
18,4,0,1,1,3,4,1,14.3,75.2,0
10,6,1,0,3,1,3,1,11.2,38.9,0
9,4,0,1,2,1,7,0,10.5,94.7,0
18,1,0,1,2,1,9,0,13.5,83.0,0
10,5,1,0,1,3,7,1,20.5,41.8,1
15,3,0,0,4,0,6,0,18.3,20.1,0
18,1,0,1,1,3,8,1,13.3,79.2,0
10,0,0,0,0,1,4,0,8.1,46.1,2
6,0,0,0,3,1,7,0,7.4,52.6,0
10,0,0,0,4,0,14,0,23.5,43.7,0
19,6,1,0,4,2,18,1,31.2,19.5,0
7,4,0,1,1,0,7,0,13.7,78.9,1
12,0,0,0,3,1,5,0,7.6,54.5,0
18,1,0,1,1,2,7,0,13.6,90.0,0
8,2,0,1,1,3,7,1,10.8,72.1,0
17,3,0,1,1,3,5,1,11.4,72.6,0
18,5,1,0,2,1,3,0,12.9,51.4,1
6,4,0,0,0,1,7,0,4.7,55.7,1
19,1,0,1,3,1,2,1,13.9,91.0,0
8,3,0,1,1,3,8,1,16.4,86.6,0
7,3,0,1,0,1,4,0,4.8,44.0,0
8,1,0,1,1,3,5,1,12.4,87.2,0
13,6,1,0,3,1,9,1,3,19.9,0
17,2,0,1,0,1,3,0,9.8,80.4,0
12,5,1,0,1,3,7,1,6.8,42.8,0
18,4,0,1,1,3,5,1,5,68.4,0
6,1,0,0,0,1,5,0,9.9,70.7,1
10,5,1,0,3,2,8,1,25.4,38.8,0
8,4,0,1,1,2,3,0,13.6,66.8,0
12,0,0,0,4,1,10,0,12.4,34.6,1
7,4,0,1,1,2,4,0,11.5,76.4,1
9,5,1,0,4,0,14,1,14.4,20.4,0
7,2,0,1,0,1,5,0,10.9,55.6,0
16,6,1,0,1,2,11,0,22.5,58.0,0
17,1,0,1,0,1,7,0,11.1,84.0,2
18,1,0,1,0,1,3,0,7.3,82.3,0
19,4,0,1,0,1,6,0,9.8,98.5,0
7,3,0,1,2,1,9,0,18.0,92.7,0
18,0,0,1,1,0,5,0,12.1,85.9,0
7,2,0,1,2,1,9,0,18.4,53.6,0
14,0,0,0,1,4,11,0,14.3,46.5,0
7,1,0,1,0,1,4,0,12.1,58.9,0
8,3,0,0,4,4,2,0,5,24.1,1
18,0,0,1,2,1,9,0,19.3,78.5,2
12,1,0,0,2,1,10,0,15.4,35.1,2
7,3,0,1,3,1,1,0,10.4,67.0,2
19,5,1,0,0,2,14,0,16.9,15.9,0
17,5,1,0,3,4,11,1,31.4,41.3,1
10,3,0,0,3,1,6,0,5.1,57.2,1
11,2,0,0,0,1,8,0,6.7,83.5,0
13,6,1,0,1,2,6,0,10.9,43.2,0
9,6,1,0,2,0,13,0,23.2,56.8,0
8,0,0,1,2,1,8,0,11.4,89.3,2
8,2,0,1,3,1,4,1,14.3,73.5,1
11,6,1,0,4,0,13,1,30.3,45.0,2
19,6,1,0,2,0,13,0,28.1,45.4,0
8,3,0,1,0,1,4,0,3.6,59.0,0
8,3,0,1,3,1,6,1,16.4,66.7,0
6,4,0,0,3,1,1,0,8.2,66.5,2
12,0,0,0,2,1,8,0,13.6,68.8,0
16,0,0,0,4,0,7,0,16.5,16.8,1
18,0,0,1,2,1,8,0,12.6,95.6,0
13,5,1,0,4,0,13,0,15.8,22.8,0
11,5,1,0,4,0,16,1,25.3,51.2,0
17,2,0,1,1,3,3,1,14.0,100,0
17,3,0,1,0,1,7,0,5.7,85.0,0
15,4,0,0,0,4,12,0,12.6,24.7,0
12,4,0,0,3,1,3,0,8.0,42.6,0
18,0,0,1,2,1,10,0,20.8,82.9,1
18,2,0,1,2,1,5,0,20.2,93.2,1
6,2,0,0,0,1,2,0,10.3,35.2,1
11,3,0,0,2,1,9,0,11.1,47.5,1
19,4,0,1,2,1,8,0,20.8,78.9,0
17,0,0,1,1,3,4,1,8.4,75.7,1
7,1,0,1,0,1,4,0,8.9,42.3,0
8,5,1,0,4,4,2,0,5,43.4,2
8,4,0,1,0,1,7,0,5.9,54.1,0
10,6,1,0,0,4,14,1,29.6,44.4,1
8,4,0,1,0,1,3,0,8.3,74.8,0
16,5,1,0,3,1,11,1,7.8,63.0,0
12,6,1,0,4,0,12,1,19.6,54.1,1
9,0,0,1,1,3,5,1,12.7,62.8,0
6,2,0,0,2,1,7,0,18.7,52.4,1
15,6,1,0,4,3,17,1,27.5,51.9,1
18,0,0,1,2,1,8,0,15.6,66.0,1
19,2,0,1,3,1,5,1,17.5,80.6,0
19,6,1,0,4,2,15,1,30.4,31.1,0
7,0,0,1,1,3,8,1,5.7,85.7,0
8,2,0,1,2,1,9,0,9.8,86.5,0
10,6,1,0,1,4,11,0,16.0,24.4,2
8,4,0,1,2,1,7,0,18.6,76.1,2
11,5,1,0,0,1,2,0,7.1,72.1,2
7,1,0,1,3,1,6,1,12.3,85.8,1
15,6,1,0,4,4,1,0,5,19.9,0
7,3,0,1,3,1,1,0,12.9,48.2,1
9,4,0,0,4,4,1,0,5,21.2,2
12,3,0,0,0,1,7,0,3.1,69.5,0
7,0,0,1,3,1,3,0,3.5,63.2,1
8,0,0,1,0,1,2,0,14.5,95.8,2
6,4,0,0,3,1,6,0,7.9,80.1,0
9,1,0,0,1,4,11,0,17.0,47.3,0
11,0,0,0,0,1,3,0,10.3,66.1,1
17,5,1,0,0,4,9,1,15.7,34.0,1
12,5,1,0,1,4,6,1,21.1,60.6,0
10,5,1,0,4,2,17,1,36.0,39.2,0
9,0,0,0,4,0,13,0,16.5,19.3,0
7,0,0,1,1,0,5,0,8.2,69.4,0
15,5,1,0,0,1,3,0,11.1,51.8,2
11,6,1,0,2,0,13,0,17.8,51.0,0
15,6,1,0,4,4,1,0,8.4,33.6,0
8,4,0,1,2,1,6,0,17.0,97.1,1
9,4,0,0,4,1,8,0,18.0,27.0,0
10,1,0,0,4,4,1,0,5,27.3,2
16,5,1,0,4,4,1,0,5,36.7,0
7,4,0,1,3,1,4,0,7.7,55.2,2
17,1,0,1,1,2,8,0,20.0,84.0,2
18,5,1,0,0,4,14,1,24.7,51.2,0
6,0,0,0,2,1,9,0,17.4,57.0,0
12,1,0,0,0,1,5,0,3.7,72.0,1
19,0,0,1,1,2,7,0,14.5,85.4,2
10,2,0,0,0,1,6,0,6.1,56.2,0
8,2,0,1,0,1,6,0,11.3,62.1,0
18,1,0,1,1,0,9,0,6.8,83.8,0
13,4,0,0,4,4,2,0,5,30.0,1
7,2,0,1,3,1,5,0,9.3,58.8,1
14,6,1,0,4,0,11,0,21.1,40.5,0
8,0,0,1,2,1,9,0,14.1,89.4,1
7,3,0,1,2,1,6,0,17.6,88.0,0
12,6,1,0,4,0,13,1,22.2,49.6,1
15,5,1,0,0,3,7,1,11.3,59.3,0
8,3,0,1,2,1,10,0,21.0,95.4,1
8,2,0,1,1,0,5,0,12.6,82.6,1
9,6,1,0,0,4,8,1,21.7,24.3,1
9,1,0,1,2,1,6,0,20.2,88.0,2
8,0,0,1,3,1,4,1,8.0,71.2,2
8,1,0,1,2,1,5,0,5.8,69.7,0
11,0,0,0,4,0,13,0,22.4,19.3,1
8,1,0,1,1,2,7,0,18.4,85.8,0
14,6,1,0,0,4,10,1,33.6,51.3,1
18,2,0,1,3,1,3,1,5.2,86.8,0
10,1,0,0,4,4,1,0,5,53.1,0
10,6,1,0,3,2,9,1,26.6,69.0,0
14,0,0,0,4,1,12,0,6.3,6.5,2
8,1,0,1,1,2,9,0,11.6,73.9,1
16,6,1,0,4,1,6,1,12.3,52.9,0
13,5,1,0,3,2,11,1,24.7,55.2,0
7,2,0,1,0,1,4,0,3.8,63.7,1
10,3,0,0,0,4,14,0,18.6,42.9,0
11,2,0,0,4,4,1,0,5,44.6,0
11,2,0,0,4,1,11,0,19.4,30.8,0
16,2,0,0,0,4,10,0,19.0,37.9,0
18,1,0,1,1,2,7,0,20.6,89.3,1
7,2,0,1,2,1,7,0,10.3,54.2,0
19,5,1,0,1,0,4,0,3.7,41.6,1
6,1,0,0,0,1,6,0,7.7,66.6,2
7,0,0,1,0,1,9,0,13.3,66.7,0
14,6,1,0,3,2,8,1,20.5,74.8,0
7,4,0,1,0,1,9,0,7.4,80.8,0
18,0,0,1,0,1,4,0,5,85.9,0
7,3,0,1,1,0,8,0,12.1,71.3,1
19,6,1,0,4,3,15,1,26.7,52.5,1
18,3,0,1,0,1,5,0,5,80.3,0
18,2,0,1,0,1,5,0,9.2,69.1,2
8,2,0,1,1,0,9,0,9.0,89.4,2
